name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,mhi,emhi,grpsig_gapper,grprproj_smooth,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_dyn_gapper,grpsig_smooth,logmh,grpn,grprproj,grp,grpsig_stack,logmh_dyn_smooth
rf0306 ,0.02,0.24,0.03,0.01,0.22,0.06,14.17,0.11,14.29,18.3,0.04,0.87655458,0.03,0.38,0.15,0.15,32.487459,0.08,0.25,15.25,6.89,16.8,15.51,16.48,0.39,1.5,-0.05,14.89,16.31,0.33,0.26,15.28,0.54,0.02,2.46,3.26,1.34,1.2,8.73,-99.0,6157.8,-99.0,0.02,-18.32,2.3,16.18,0.27,0.03,0.03,6157.8,0.02,0.32,0.02,14.64,17.78,1,1771490000.0,164365000.0,0.0,0.0,0.0,-18.3173,0.0,0.0,0.0,0.0,11.0759,1.0,0.0,215.0,0.0,0.0
rf0307 ,0.02,0.76,0.03,0.01,0.08,0.07,11.88,0.12,11.88,20.68,0.05,-0.63832493,0.02,0.07,0.04,0.16,32.675583,0.09,0.02,12.84,4.21,15.5,13.23,14.71,1.1,2.56,-0.01,12.04,14.34,0.35,0.29,11.78,0.11,0.05,4.16,5.06,2.7,2.36,10.05,-99.0,5996.36,-99.0,0.03,-20.03,3.46,14.05,0.3,0.04,0.03,5964.2,0.22,0.02,0.02,12.08,17.25,1,645049000.0,0.0,55.3003,107.541,107.541,-21.7952,11.8347,53.2224,11.8679,107.541,12.3209,3.0,0.0824407,216.0,107.541,12.7839
rf0308 ,0.02,0.44,0.02,0.01,0.42,0.05,15.16,0.1,-99.0,20.28,0.04,1.2058444,0.05,0.3,0.41,0.14,32.74217,0.07,-99.0,14.64,4.43,17.9,16.28,17.38,0.65,1.81,0.13,-99.0,17.14,0.58,0.24,12.56,-99.0,0.02,2.99,3.78,1.84,1.62,8.83,-99.0,7045.2,-99.0,0.03,-17.7,2.59,16.96,0.25,0.03,0.03,7045.2,0.07,0.42,0.02,15.58,19.07,0,929091000.0,0.0,0.0,0.0,0.0,-17.704,0.0,0.0,0.0,0.0,10.9569,1.0,0.0,217.0,0.0,0.0
rf0309 ,0.02,0.75,0.03,0.01,-99.0,0.07,-99.0,0.12,11.32,18.54,0.05,-0.65519166,0.22,-99.0,-99.0,0.16,32.776729,0.09,0.12,12.47,14.71,15.44,-99.0,14.63,1.15,2.84,-0.22,11.57,14.2,0.18,0.29,33.89,0.06,0.02,4.44,5.47,2.76,2.35,10.33,-99.0,5996.36,-99.0,0.02,-20.11,3.86,12.3,0.3,0.04,0.04,5967.1,0.15,0.04,0.03,-99.0,17.12,1,1434040000.0,0.0,55.3003,107.541,107.541,-21.7952,11.8347,53.2224,11.8679,107.541,12.3209,3.0,0.0824407,216.0,107.541,12.7839
rf0310 ,0.02,0.71,0.03,0.01,0.06,0.07,10.88,0.12,10.75,18.42,0.05,-0.65466789,0.04,0.06,0.07,0.16,32.784641,0.09,0.06,11.82,6.68,14.27,12.18,13.55,1.04,2.35,-0.01,11.07,13.14,0.53,0.29,28.75,0.08,0.02,3.83,4.73,2.52,2.19,10.57,-99.0,5996.36,-99.0,0.04,-21.23,3.25,12.92,0.3,0.04,0.03,6057.8,0.13,0.03,0.04,11.13,15.9,1,1604240000.0,0.0,55.3003,107.541,107.541,-21.7952,11.8347,53.2224,11.8679,107.541,12.3209,3.0,0.0824407,216.0,107.541,12.7839
rf0311 ,0.02,0.35,0.03,0.01,0.34,0.07,15.78,0.12,-99.0,20.09,0.05,-0.65002562,0.06,1.16,0.5,0.16,32.817819,0.09,-99.0,-99.0,2.47,18.33,16.71,17.89,0.55,1.76,0.09,-99.0,17.68,0.74,0.29,5.78,-99.0,0.03,2.86,3.71,1.65,1.45,8.39,-99.0,6365.7,-99.0,0.04,-16.99,2.61,17.54,0.3,0.04,0.08,6365.7,0.15,-99.0,0.02,15.74,19.53,0,218702000.0,22025900.0,0.0,0.0,0.0,-16.9932,0.0,0.0,0.0,0.0,10.8395,1.0,0.0,487.0,0.0,0.0
rf0312 ,0.02,0.13,0.03,0.01,0.21,0.06,14.17,0.11,14.09,16.87,0.04,1.218351,0.06,0.22,0.18,0.14,32.99953,0.08,0.23,15.03,12.29,15.95,15.11,15.75,0.21,1.18,0.0,14.26,15.61,0.29,0.26,40.52,0.28,0.05,1.9,2.6,0.93,0.85,8.91,-99.0,7026.1,-99.0,0.08,-19.33,1.88,15.44,0.26,0.03,0.06,7011.4,0.08,0.42,0.02,14.29,16.65,0,5919230000.0,236769000.0,96.9533,59.9221,59.9221,-20.0206,11.7468,83.0318,11.8815,59.9221,11.4859,3.0,0.0276706,218.0,59.9221,12.1725
rf0313 ,0.02,0.22,0.03,0.01,0.7,0.06,14.28,0.11,13.97,17.56,0.04,1.2259478,0.05,0.45,0.54,0.14,33.001794,0.08,0.37,14.78,5.88,16.38,15.32,16.12,0.36,1.47,0.02,14.06,15.96,0.58,0.26,15.48,0.47,0.02,2.3,3.1,1.18,1.04,8.95,-99.0,7026.1,-99.0,0.02,-18.94,2.27,15.79,0.26,0.03,0.05,6951.4,0.15,0.25,0.02,14.18,17.29,0,5818360000.0,232734000.0,96.9533,59.9221,59.9221,-20.0206,11.7468,83.0318,11.8815,59.9221,11.4859,3.0,0.0276706,218.0,59.9221,12.1725
rf0314 ,0.02,0.18,0.03,0.01,0.76,0.07,15.02,0.13,-99.0,18.52,0.05,-0.46714725,0.19,0.61,0.38,0.17,33.231433,0.09,-99.0,-99.0,11.25,17.24,16.92,16.92,0.29,1.31,-0.12,-99.0,16.58,0.72,0.31,53.08,-99.0,0.06,2.2,2.94,1.18,1.07,8.47,-99.0,6279.2,-99.0,0.13,-17.94,2.05,16.33,0.32,0.04,0.08,6279.2,0.12,-99.0,0.05,15.37,17.88,1,1761050000.0,92934000.0,0.0,0.0,0.0,-17.9372,0.0,0.0,0.0,0.0,11.0019,1.0,0.0,219.0,0.0,0.0
rf0315 ,0.02,0.58,0.03,0.01,-99.0,0.07,-99.0,0.13,10.36,15.89,0.05,-0.71724638,0.04,-99.0,0.1,0.17,33.410021,0.09,0.07,11.29,15.6,13.58,11.73,12.95,0.87,2.14,-0.18,10.65,12.59,0.79,0.3,47.81,0.04,0.02,3.38,4.25,2.11,1.81,10.77,-99.0,6063.4,-99.0,0.02,-21.83,3.01,12.33,0.31,0.04,0.04,6063.4,0.01,0.06,0.02,-99.0,14.89,1,14475400000.0,556307000.0,0.0,0.0,0.0,-21.8261,0.0,0.0,0.0,0.0,12.3419,1.0,0.0,220.0,0.0,0.0
rf0316 ,0.02,0.33,0.03,0.01,0.11,0.07,13.2,0.12,13.16,17.48,0.05,-0.97743831,0.02,0.09,0.05,0.16,33.507626,0.09,0.11,14.09,4.08,15.88,14.38,15.45,0.52,1.7,-0.07,13.14,15.24,0.64,0.29,8.67,0.3,0.03,2.69,3.52,1.52,1.33,9.29,-99.0,6064.1,-99.0,0.03,-19.32,2.52,15.09,0.29,0.04,0.03,6064.1,0.02,0.03,0.02,13.3,16.9,1,2232560000.0,161456000.0,0.0,0.0,0.0,-19.3223,0.0,0.0,0.0,0.0,11.2899,1.0,0.0,221.0,0.0,0.0
rf0317 ,0.02,0.29,0.03,0.01,-99.0,0.07,-99.0,0.13,-99.0,18.95,0.05,0.9177381,0.05,-99.0,0.34,0.17,34.01581,0.09,-99.0,-99.0,5.38,17.5,16.09,17.12,0.48,1.68,-0.02,-99.0,16.92,0.4,0.3,11.17,-99.0,0.02,2.6,3.46,1.4,1.21,8.67,-99.0,7062.8,-99.0,0.02,-17.99,2.54,16.77,0.31,0.04,0.03,7062.8,0.05,-99.0,0.02,-99.0,18.43,0,886946000.0,0.0,0.0,0.0,0.0,-17.9906,0.0,0.0,0.0,0.0,11.0119,1.0,0.0,222.0,0.0,0.0
rf0318 ,0.02,0.17,0.03,0.01,0.2,0.07,15.59,0.13,-99.0,18.34,0.05,-0.65249351,0.05,0.62,0.48,0.18,34.198638,0.1,-99.0,-99.0,7.28,17.36,16.25,17.14,0.28,1.3,-0.05,-99.0,16.99,0.41,0.33,15.1,-99.0,0.03,2.05,2.79,1.02,0.92,8.35,-99.0,6205.0,-99.0,0.03,-17.7,2.04,16.75,0.33,0.04,0.03,6205.0,0.05,-99.0,0.04,15.8,18.13,1,2636370000.0,128963000.0,24.6369,78.4547,78.4547,-17.8819,10.6426,19.6574,10.8387,78.4547,10.9569,1.0,0.0388347,223.0,78.4547,12.1034
rf0319 ,0.02,0.72,0.03,0.01,-99.0,0.08,-99.0,0.14,9.84,17.29,0.06,1.2443094,0.02,-99.0,0.17,0.2,34.270013,0.1,0.07,10.84,13.3,13.36,11.18,12.55,1.07,2.39,-0.05,10.15,12.12,0.95,0.35,60.82,0.02,0.02,3.91,4.83,2.59,2.25,11.15,-99.0,6487.2,-99.0,0.03,-22.39,3.31,11.84,0.36,0.05,0.09,6487.2,0.04,0.04,0.02,-99.0,14.92,1,4195670000.0,222958000.0,58.6684,63.3827,63.3827,-22.3955,12.3896,51.7461,12.4986,63.3827,12.7219,1.0,0.312972,224.0,63.3827,12.5869
rf0320 ,0.02,0.27,0.03,0.01,0.17,0.08,14.5,0.15,-99.0,18.67,0.06,0.37853034,0.04,1.02,0.26,0.2,34.587096,0.11,-99.0,15.82,3.25,17.53,16.32,17.18,0.43,1.6,0.05,-99.0,17.0,0.9,0.35,7.53,-99.0,0.02,2.43,3.27,1.27,1.1,8.53,-99.0,6687.8,-99.0,0.02,-17.82,2.44,16.86,0.36,0.05,0.04,6687.8,0.03,0.4,0.03,15.05,18.43,1,687764000.0,25710800.0,0.0,0.0,0.0,-17.8228,0.0,0.0,0.0,0.0,10.9799,1.0,0.0,225.0,0.0,0.0
rf0321 ,0.02,0.26,0.03,0.01,-99.0,0.07,-99.0,0.13,14.42,18.2,0.05,-0.60143398,0.06,-99.0,-99.0,0.18,34.749368,0.09,0.98,15.46,10.38,16.97,-99.0,16.66,0.43,1.59,-0.02,14.74,16.45,0.53,0.32,23.54,1.0,0.06,2.44,3.27,1.28,1.11,8.69,-99.0,6206.4,-99.0,0.03,-18.17,2.42,16.3,0.32,0.04,0.05,6206.4,0.02,0.28,0.02,-99.0,17.86,1,5614440000.0,141845000.0,0.0,0.0,0.0,-18.1724,0.0,0.0,0.0,0.0,11.0479,1.0,0.0,226.0,0.0,0.0
rf0322 ,0.02,0.38,0.03,0.01,0.22,0.08,15.47,0.14,-99.0,19.42,0.05,1.218227,0.11,0.44,0.35,0.19,35.281839,0.1,-99.0,15.35,5.7,17.69,16.34,17.24,0.58,1.73,-0.01,-99.0,16.99,0.64,0.33,11.29,-99.0,0.03,2.8,3.6,1.65,1.45,8.77,-99.0,6492.7,-99.0,0.05,-17.7,2.53,16.81,0.34,0.04,0.21,6492.7,0.06,0.46,0.02,15.19,18.72,1,332520000.0,33490200.0,0.0,0.0,0.0,-17.6987,0.0,0.0,0.0,0.0,10.9569,1.0,0.0,227.0,0.0,0.0
rf0323 ,0.02,0.51,0.03,0.01,0.34,0.08,15.24,0.14,-99.0,20.2,0.06,0.22065782,0.13,0.5,-99.0,0.2,35.487665,0.1,-99.0,-99.0,2.81,18.04,-99.0,17.44,0.77,2.0,0.09,-99.0,17.15,0.8,0.35,5.69,-99.0,0.04,3.18,4.02,1.96,1.7,8.85,-99.0,6273.1,-99.0,0.06,-17.42,2.83,16.93,0.36,0.05,0.04,6273.1,0.17,-99.0,0.02,15.32,19.29,1,266632000.0,27755100.0,0.0,0.0,0.0,-17.4236,0.0,0.0,0.0,0.0,10.9069,1.0,0.0,389.0,0.0,0.0
rf0324 ,0.02,0.64,0.03,0.01,0.38,0.07,11.79,0.13,11.43,18.04,0.05,1.0180874,0.05,0.02,0.23,0.18,36.505279,0.09,0.08,12.68,7.01,15.16,12.97,14.44,0.96,2.34,-0.1,11.89,14.07,0.81,0.31,21.58,0.03,0.02,3.75,4.68,2.38,2.06,10.37,-99.0,6962.7,-99.0,0.02,-20.64,3.26,13.78,0.32,0.04,0.07,6962.7,0.02,0.07,0.02,11.72,16.64,1,930586000.0,67632400.0,0.0,0.0,0.0,-20.6387,0.0,0.0,0.0,0.0,11.7089,1.0,0.0,230.0,0.0,0.0
rf0325 ,0.02,0.6,0.04,0.01,0.03,0.08,10.11,0.15,10.06,15.77,0.06,-0.33172171,0.03,0.09,0.02,0.21,36.528168,0.11,0.14,11.03,24.27,13.49,11.6,12.82,0.91,2.21,-0.13,10.39,12.46,0.45,0.37,55.48,0.03,0.02,3.47,4.37,2.16,1.86,10.89,-99.0,6452.4,-99.0,0.02,-22.11,3.12,12.2,0.38,0.05,0.22,6452.4,0.02,0.03,0.02,10.47,14.77,1,13720200000.0,732540000.0,0.0,0.0,0.0,-22.1114,0.0,0.0,0.0,0.0,12.4949,1.0,0.0,231.0,0.0,0.0
rf0326 ,0.02,0.29,0.03,0.01,0.41,0.07,15.22,0.13,-99.0,19.07,0.05,-0.49188316,0.11,1.03,-99.0,0.17,36.596579,0.09,-99.0,-99.0,4.92,17.76,-99.0,17.4,0.47,1.66,-0.03,-99.0,17.21,0.61,0.31,9.54,-99.0,0.03,2.54,3.38,1.35,1.17,8.45,-99.0,6374.5,-99.0,0.04,-17.49,2.5,17.06,0.31,0.04,0.05,6374.5,0.11,-99.0,0.02,15.48,18.7,1,520334000.0,64084000.0,0.0,0.0,0.0,-17.4856,0.0,0.0,0.0,0.0,10.9189,1.0,0.0,232.0,0.0,0.0
rf0327 ,0.02,0.73,0.03,0.01,0.15,0.06,10.43,0.11,10.36,18.25,0.04,-0.24438677,0.03,0.16,0.09,0.15,36.887349,0.08,0.67,11.35,13.46,13.76,11.74,12.99,1.07,2.37,-0.04,10.57,12.59,0.69,0.26,68.29,0.03,0.02,3.87,4.76,2.57,2.23,10.89,-99.0,6361.5,-99.0,0.02,-21.88,3.26,12.32,0.27,0.03,0.03,6361.5,1.65,0.04,0.02,10.68,15.39,1,5735210000.0,746798000.0,233.343,77.9023,77.9023,-21.8854,13.2439,186.181,13.44,77.9023,12.3619,1.0,0.172867,233.0,77.9023,12.6451
rf0328 ,0.02,0.57,0.02,0.01,0.16,0.06,14.67,0.1,-99.0,20.85,0.04,-0.24656214,0.05,0.45,0.28,0.14,37.152547,0.07,-99.0,15.32,3.12,17.55,15.91,16.88,0.83,2.0,-0.03,14.29,16.52,0.87,0.24,10.85,0.46,0.04,3.32,4.08,2.15,1.9,8.99,-99.0,6430.6,-99.0,0.04,-18.01,2.76,16.29,0.25,0.03,0.29,6430.6,0.06,0.3,0.04,15.04,18.31,1,65528000.0,0.0,0.0,0.0,0.0,-18.0052,0.0,0.0,0.0,0.0,11.0179,1.0,0.0,235.0,0.0,0.0
rf0329 ,0.02,0.51,0.03,0.01,0.29,0.06,11.04,0.11,11.17,16.22,0.04,0.37042599,0.03,0.33,-99.0,0.15,37.228036,0.08,0.17,11.95,19.74,14.13,-99.0,13.57,0.77,2.02,-0.13,11.31,13.26,0.67,0.26,36.36,0.31,0.03,3.18,4.02,1.93,1.67,10.39,-99.0,6102.7,-99.0,0.03,-21.21,2.86,13.05,0.27,0.03,0.06,6102.7,0.01,0.12,0.02,11.49,15.34,1,4376730000.0,269061000.0,0.0,0.0,0.0,-21.2109,0.0,0.0,0.0,0.0,11.9709,1.0,0.0,236.0,0.0,0.0
rf0330 ,0.02,0.63,0.03,0.01,0.27,0.06,11.83,0.11,12.26,18.72,0.04,0.78083562,0.05,0.16,0.05,0.15,37.373537,0.08,0.5,12.57,4.73,14.96,13.15,14.31,0.91,2.11,-0.06,11.84,13.93,0.78,0.27,25.66,0.16,0.03,3.45,4.22,2.24,1.97,10.17,-99.0,6678.25,-99.0,0.03,-20.64,2.88,13.66,0.27,0.03,0.11,6594.8,0.2,0.15,0.08,11.97,16.03,1,915571000.0,0.0,165.016,83.3534,83.3534,-20.8105,12.8414,140.534,12.9809,83.3534,11.7769,2.0,0.120087,237.0,83.3534,12.5039
rf0331 ,0.01,0.3,0.02,0.01,1.9,0.05,14.18,0.09,-99.0,18.72,0.04,0.37364281,0.06,4.48,0.46,0.13,37.391274,0.07,-99.0,15.51,13.07,16.93,16.05,16.55,0.48,1.63,-0.05,-99.0,16.25,0.81,0.23,33.69,-99.0,0.04,2.66,3.48,1.5,1.33,8.87,-99.0,6478.2,-99.0,0.04,-18.35,2.46,16.19,0.23,0.03,0.03,6478.2,0.02,1.57,0.04,14.42,17.77,1,1758510000.0,161702000.0,0.0,0.0,0.0,-18.3488,0.0,0.0,0.0,0.0,11.0829,1.0,0.0,238.0,0.0,0.0
rf0332 ,0.01,0.38,0.02,0.01,0.27,0.05,15.07,0.09,-99.0,19.62,0.04,0.12338943,0.04,0.32,0.1,0.13,37.413698,0.07,-99.0,15.94,2.48,17.62,16.47,17.17,0.58,1.69,0.17,-99.0,16.93,0.74,0.22,7.2,-99.0,0.02,2.8,3.55,1.69,1.5,8.73,-99.0,6101.1,-99.0,0.02,-17.6,2.44,16.74,0.23,0.03,0.06,6101.1,0.05,0.1,0.02,15.18,18.74,1,290134000.0,28212100.0,0.0,0.0,0.0,-17.5992,0.0,0.0,0.0,0.0,10.9379,1.0,0.0,239.0,0.0,0.0
rf0333 ,0.02,0.58,0.03,0.01,0.09,0.06,13.75,0.11,13.74,19.84,0.04,0.81317006,0.03,0.11,0.08,0.14,37.456409,0.08,0.06,14.59,6.79,17.03,15.13,16.39,0.87,2.17,0.02,14.12,16.06,0.29,0.25,15.34,0.12,0.02,3.49,4.39,2.19,1.9,9.41,-99.0,6678.25,-99.0,0.02,-18.61,3.07,15.8,0.26,0.03,0.03,6761.7,0.05,0.06,0.02,13.95,18.36,1,364585000.0,31105400.0,165.016,83.3534,83.3534,-20.8105,12.8414,140.534,12.9809,83.3534,11.7769,2.0,0.120087,237.0,83.3534,12.5039
rf0334 ,0.01,0.78,0.02,0.01,-99.0,0.05,10.88,0.09,10.96,19.77,0.04,1.1791741,0.02,0.04,-99.0,0.12,37.485109,0.07,0.09,11.95,7.58,14.58,-99.0,13.77,1.14,2.56,-0.02,11.22,13.36,0.85,0.22,28.61,0.13,0.02,4.18,5.1,2.76,2.4,10.67,-99.0,6652.0,-99.0,0.02,-21.18,3.48,13.07,0.22,0.03,0.1,6652.0,0.24,0.14,0.02,-99.0,16.32,1,968416000.0,0.0,0.0,0.0,0.0,-21.1813,0.0,0.0,0.0,0.0,11.9579,1.0,0.0,240.0,0.0,0.0
rf0335 ,0.02,0.29,0.03,0.01,0.44,0.07,-99.0,0.13,13.96,18.38,0.05,-1.0152332,0.03,-99.0,0.15,0.17,37.705305,0.09,0.36,15.42,6.63,17.08,15.93,16.7,0.46,1.61,0.03,14.53,16.52,0.43,0.31,14.63,0.37,0.03,2.49,3.31,1.34,1.17,8.67,-99.0,5936.7,-99.0,0.02,-18.04,2.42,16.4,0.32,0.04,0.04,5936.7,0.04,0.23,0.02,14.47,18.02,1,1011220000.0,56981900.0,0.0,0.0,0.0,-18.0365,0.0,0.0,0.0,0.0,11.0219,1.0,0.0,242.0,0.0,0.0
rf0336 ,0.01,0.56,0.02,0.01,-99.0,0.05,-99.0,0.09,13.42,18.8,0.04,1.2448707,0.07,-99.0,-99.0,0.13,37.805333,0.07,0.11,13.97,12.48,16.06,-99.0,15.42,0.84,2.02,0.02,13.55,15.07,0.49,0.23,36.3,0.49,0.02,3.3,4.07,2.12,1.84,9.83,-99.0,6620.09,-99.0,0.07,-19.53,2.79,14.85,0.23,0.03,0.04,6634.2,0.03,0.2,0.04,-99.0,17.46,1,293198000.0,23495100.0,238.091,0.443666,123.918,-23.1627,13.8575,235.53,13.8669,123.918,13.3669,17.0,0.443666,243.0,238.091,13.9983
rf0337 ,0.01,0.65,0.02,0.01,0.51,0.05,14.44,0.09,14.22,21.62,0.04,1.2475043,0.03,0.53,0.31,0.13,37.85893,0.07,0.11,15.21,4.71,17.62,15.77,16.94,0.95,2.23,-0.04,14.6,16.58,0.69,0.22,11.46,0.14,0.03,3.63,4.48,2.35,2.06,9.15,-99.0,6620.09,-99.0,0.02,-18.01,3.08,16.41,0.23,0.03,0.04,6615.0,0.36,0.13,0.02,14.6,19.13,1,51609200.0,0.0,238.091,0.443666,123.918,-23.1627,13.8575,235.53,13.8669,123.918,13.3669,17.0,0.443666,243.0,238.091,13.9983
rf0338 ,0.01,0.3,0.02,0.01,0.34,0.05,14.56,0.09,-99.0,19.0,0.04,0.75662517,0.1,0.54,0.26,0.12,37.890219,0.07,-99.0,15.84,8.21,17.27,16.31,16.88,0.47,1.54,0.02,-99.0,16.63,0.41,0.22,18.73,-99.0,0.03,2.6,3.36,1.53,1.36,8.73,-99.0,6579.06,-99.0,0.08,-17.94,2.3,16.52,0.22,0.03,0.08,6244.0,0.05,0.14,0.03,15.55,18.39,1,782293000.0,81550200.0,251.425,0.318835,129.586,-22.4775,13.7427,243.437,13.7707,129.586,12.7679,13.0,0.318835,244.0,251.425,13.9022
rf0339 ,0.02,0.49,0.02,0.01,0.17,0.06,11.96,0.1,11.88,17.14,0.04,-0.13979131,0.03,0.02,0.05,0.14,37.90717,0.07,0.07,12.82,8.53,14.96,13.32,14.4,0.75,1.99,-0.02,12.14,14.12,0.52,0.25,23.57,0.1,0.02,3.15,4.0,1.92,1.66,9.99,-99.0,6153.4,-99.0,0.02,-20.39,2.84,13.91,0.25,0.03,0.06,6153.4,0.02,0.08,0.02,12.18,16.13,1,1477170000.0,164130000.0,0.0,0.0,0.0,-20.3918,0.0,0.0,0.0,0.0,11.6089,1.0,0.0,245.0,0.0,0.0
rf0340 ,0.01,0.25,0.02,0.01,0.19,0.05,15.25,0.09,-99.0,19.05,0.03,1.1969289,0.05,0.68,0.22,0.12,37.926994,0.06,-99.0,15.75,2.02,17.72,16.47,17.42,0.41,1.57,0.01,-99.0,17.25,0.8,0.21,4.69,-99.0,0.03,2.44,3.28,1.28,1.12,8.47,-99.0,6620.09,-99.0,0.04,-17.64,2.4,17.11,0.22,0.03,0.04,6966.6,0.04,0.13,0.02,15.51,18.63,1,645634000.0,30634400.0,238.091,0.443666,123.918,-23.1627,13.8575,235.53,13.8669,123.918,13.3669,17.0,0.443666,243.0,238.091,13.9983
rf0341 ,0.01,0.48,0.02,0.01,0.12,0.05,-99.0,0.09,11.53,16.67,0.04,0.90449346,0.02,-99.0,0.11,0.13,37.930059,0.07,0.48,13.22,9.78,14.99,13.37,14.47,0.73,1.92,-0.11,12.45,14.16,0.86,0.22,33.31,0.11,0.03,2.97,3.77,1.78,1.53,10.09,-99.0,6579.06,-99.0,0.03,-20.38,2.72,13.93,0.23,0.03,0.03,6328.4,0.13,0.1,0.03,12.28,16.09,1,7117540000.0,192887000.0,251.425,0.318835,129.586,-22.4775,13.7427,243.437,13.7707,129.586,12.7679,13.0,0.318835,244.0,251.425,13.9022
rf0342 ,0.01,0.33,0.02,0.01,0.44,0.05,12.86,0.09,12.82,16.95,0.04,0.29358974,0.02,0.07,0.34,0.13,37.930828,0.07,0.3,13.21,16.64,15.25,13.92,14.85,0.51,1.61,-0.12,12.7,14.62,0.53,0.23,33.3,0.2,0.02,2.65,3.4,1.55,1.37,9.67,-99.0,6368.0,-99.0,0.06,-20.01,2.36,14.45,0.24,0.03,0.04,6368.0,0.02,0.39,0.05,13.0,16.3,1,7245960000.0,429680000.0,0.0,0.0,0.0,-20.0108,0.0,0.0,0.0,0.0,11.4829,1.0,0.0,246.0,0.0,0.0
rf0343 ,0.02,0.64,0.03,0.01,0.03,0.07,11.12,0.13,11.59,18.4,0.05,-0.94522305,0.04,0.51,0.05,0.17,37.935631,0.09,0.03,12.78,6.09,15.47,13.35,14.74,0.99,2.55,-0.1,11.78,14.35,0.45,0.3,19.13,0.19,0.04,3.97,5.03,2.41,2.06,10.01,-99.0,5969.45,-99.0,0.02,-20.02,3.61,14.02,0.31,0.04,0.04,6004.2,0.04,0.04,0.02,11.98,16.89,1,605692000.0,50220500.0,61.5928,61.8247,61.8247,-20.5208,11.7264,49.1439,11.9225,61.8247,11.6629,2.0,0.0753607,247.0,61.8247,12.2661
rf0344 ,0.02,0.36,0.03,0.01,-99.0,0.06,-99.0,0.12,-99.0,17.88,0.05,-1.0432087,0.28,-99.0,-99.0,0.16,37.960055,0.08,-99.0,13.48,16.8,15.8,-99.0,15.28,0.56,1.75,0.16,13.29,14.72,0.83,0.28,30.47,0.35,0.23,2.94,3.79,1.76,1.56,9.39,-99.0,5969.45,-99.0,0.18,-19.44,2.6,14.17,0.29,0.04,0.23,5934.7,0.02,0.92,0.14,-99.0,15.9,1,1371400000.0,79588600.0,61.5928,61.8247,61.8247,-20.5208,11.7264,49.1439,11.9225,61.8247,11.6629,2.0,0.0753607,247.0,61.8247,12.2661
rf0345 ,0.01,0.67,0.02,0.01,0.14,0.05,13.84,0.09,13.33,21.31,0.03,1.1157268,0.03,0.07,0.11,0.12,37.976714,0.06,0.18,14.67,3.6,17.11,15.06,16.4,0.98,2.28,-0.03,13.77,16.05,0.48,0.21,8.56,0.17,0.02,3.7,4.55,2.4,2.09,9.35,-99.0,6620.09,-99.0,0.02,-18.44,3.13,15.8,0.22,0.03,0.03,6328.1,0.2,0.07,0.02,14.01,18.6,1,64299700.0,0.0,238.091,0.443666,123.918,-23.1627,13.8575,235.53,13.8669,123.918,13.3669,17.0,0.443666,243.0,238.091,13.9983
rf0346 ,0.01,0.72,0.02,0.01,0.14,0.05,9.9,0.09,10.08,17.25,0.04,1.2464849,0.05,0.39,0.14,0.13,37.990806,0.07,0.09,10.93,43.21,13.13,11.27,12.3,1.05,2.27,-0.01,10.31,11.86,0.7,0.22,145.93,0.14,0.03,3.7,4.48,2.47,2.14,11.25,-99.0,6620.09,-99.0,0.06,-22.65,3.05,11.59,0.23,0.03,0.04,6646.5,0.4,0.13,0.03,10.25,14.76,1,1352000000.0,0.0,238.091,0.443666,123.918,-23.1627,13.8575,235.53,13.8669,123.918,13.3669,17.0,0.443666,243.0,238.091,13.9983
rf0347 ,0.01,0.6,0.02,0.01,0.49,0.05,14.51,0.09,-99.0,21.21,0.04,0.74802495,0.04,0.24,0.6,0.13,37.997552,0.07,-99.0,15.65,6.18,17.87,15.95,17.23,0.88,2.14,0.01,14.92,16.91,0.36,0.23,15.3,0.14,0.02,3.52,4.37,2.26,1.98,8.97,-99.0,6579.06,-99.0,0.02,-17.67,2.98,16.65,0.23,0.03,0.18,6477.6,0.19,0.4,0.02,15.42,19.11,1,65867100.0,0.0,251.425,0.318835,129.586,-22.4775,13.7427,243.437,13.7707,129.586,12.7679,13.0,0.318835,244.0,251.425,13.9022
rf0348 ,0.01,0.51,0.02,0.01,0.03,0.05,-99.0,0.09,11.23,16.49,0.03,0.91006541,0.02,-99.0,0.08,0.12,37.998311,0.06,0.16,12.11,16.81,14.25,12.47,13.69,0.78,2.03,-0.16,11.38,13.37,0.65,0.21,35.2,0.04,0.02,3.21,4.06,1.96,1.69,10.37,-99.0,6579.06,-99.0,0.03,-21.24,2.88,13.18,0.22,0.03,0.03,6581.2,0.02,0.1,0.02,11.47,15.47,1,4964820000.0,250327000.0,251.425,0.318835,129.586,-22.4775,13.7427,243.437,13.7707,129.586,12.7679,13.0,0.318835,244.0,251.425,13.9022
